 472061.0300000,3640288.3600000,-300.430000
 472092.3800000,3640199.2900000,-301.490000
 472119.4500000,3640111.3200000,-300.930000
 472139.9500000,3640021.6000000,-348.900000
 472156.7200000,3639926.7500000,-404.480000
 472173.0300000,3639828.6300000,-406.770000
 472189.1800000,3639728.2500000,-402.280000
 472205.3300000,3639626.0800000,-398.230000
 472221.5300000,3639522.4000000,-388.640000
 472237.8300000,3639417.3800000,-378.390000
 472254.2300000,3639311.1400000,-374.250000
 472270.7200000,3639203.7800000,-371.000000
 472287.2800000,3639095.3700000,-356.890000
 472303.7900000,3638986.0700000,-329.620000
 472320.0300000,3638876.1800000,-307.110000
 472333.9900000,3638765.9700000,-287.200000
 472344.8900000,3638652.5100000,-270.150000
 472354.8700000,3638533.4300000,-252.020000
 472365.2700000,3638409.2600000,-228.410000
 472376.6100000,3638279.5000000,-197.190000
 472389.6300000,3638142.9800000,-159.280000
 472405.7700000,3637996.2800000,-118.220000
 472437.7400000,3637842.4400000,-97.630000
 472484.2800000,3637693.4700000,-92.510000
 472532.2200000,3637551.4800000,-89.700000
 472581.4000000,3637411.1000000,-87.410000
 472632.0600000,3637270.4400000,-85.030000
 472684.8000000,3637127.9200000,-80.750000
 472742.0600000,3636981.9400000,-74.990000
 472805.4900000,3636834.5000000,-69.420000
 472873.9400000,3636686.3500000,-65.620000
 472948.4400000,3636532.9700000,-61.720000
 473041.1600000,3636379.8200000,-56.340000
 473146.7000000,3636239.2100000,-50.360000
 473249.8600000,3636109.8800000,-44.710000
 473349.8700000,3635983.9900000,-40.030000
 473448.9100000,3635855.0900000,-35.760000
 473553.2500000,3635719.4100000,-31.750000
 473673.6700000,3635578.8200000,-27.570000
 473810.8300000,3635445.7300000,-22.870000
 473958.7900000,3635323.7900000,-18.730000
 474117.4800000,3635214.6300000,-16.920000
 474288.7700000,3635123.6700000,-13.820000
 474458.3000000,3635063.0400000,-10.720000
 474607.2700000,3635027.1600000,-8.850000
 474737.8200000,3634998.8500000,-6.800000
 474847.6100000,3634978.4400000,-5.650000
 474931.6900000,3634959.2600000,-5.660000
 474988.2900000,3634937.0300000,-5.260000
 472194.7000000,3640338.3300000,-295.780000
 472226.9300000,3640242.6500000,-293.710000
 472254.2800000,3640147.1600000,-293.070000
 472277.8900000,3640051.1600000,-304.920000
 472298.9100000,3639953.7100000,-348.550000
 472318.4700000,3639854.4900000,-385.290000
 472337.2600000,3639753.6100000,-402.140000
 472355.6500000,3639651.2400000,-401.670000
